CEP,AGENCIA,SETEX
29970-000,4579-9,01-9
29967-000,4626-4,01-9
29965-000,4626-4,01-9
29960-000,4626-4,01-9
29950-000,3678-1,01-9
29947-010,0222-4,01-9
29946-450,0222-4,01-9
29945-380,0222-4,01-9
29945-350,0222-4,01-9
29945-340,0222-4,01-9
29941-030,0222-4,01-9
29940-800,0222-4,01-9
29936-350,0222-4,01-9
29936-100,0222-4,01-9
29933-560,0222-4,01-9
29931-450,0222-4,01-9
29930-515,0222-4,01-9
29930-001,0222-4,01-9
29919-972,0478-2,01-9
29901-371,0478-2,01-9
29901-060,0478-2,01-9
29900-043,0478-2,01-9
29900-030,0478-2,01-9
29890-000,0802-8,01-9
29830-000,0702-1,01-9
29785-000,3770-2,01-9
29780-000,0806-0,01-9
29745-000,0806-0,01-9
29730-000,1023-5,01-9
29701-260,0112-0,01-9
29700-400,0112-0,01-9
29690-000,2153-9,01-9
29650-000,0209-7,01-9
29645-000,3690-0,01-9
29560-000,0370-0,01-9
29550-000,0281-X,01-9
29540-000,0933-4,01-9
29500-000,0281-X,01-9
29480-000,1407-9,01-9
29470-000,4558-6,01-9
29400-000,0186-4,01-9
29380-000,1299-8,01-9
29375-000,3696-X,01-9
29372-000,0083-3,01-9
29370-000,1786-8,01-9
29360-000,0785-4,01-9
29345-000,3207-7,01-9
29330-000,0518-5,01-9
29328-168,1301-3,01-9
29314-300,0083-3,01-9
29313-781,0083-3,01-9
29313-295,0083-3,01-9
29308-633,0083-3,01-9
29308-120,0083-3,01-9
29307-070,0083-3,01-9
29304-745,0083-3,01-9
29304-080,0083-3,01-9
29301-420,0083-3,01-9
29301-185,0083-3,01-9
29300-000,0083-3,01-9
29295-000,3695-1,01-9
29285-000,4557-8,01-9
29280-000,4556-X,01-9
29260-000,1056-1,01-9
29240-000,1261-0,01-9
29222-535,0924-5,01-9
29221-130,0924-5,01-9
29215-290,4629-X,01-9
29210-170,0924-5,01-9
29203-020,0924-5,01-9
29200-043,0924-5,01-9
29200-000,0924-5,01-9
29199-909,0829-X,01-9
29199-899,0829-X,01-9
29199-634,0829-X,01-9
29199-213,0829-X,01-9
29198-254,0829-X,01-9
29197-670,0829-X,01-9
29197-330,0829-X,01-9
29194-176,0829-X,01-9
29184-385,1240-8,01-9
29182-537,1301-3,01-9
29180-266,1301-3,01-9
29175-842,1301-3,01-9
29175-147,1301-3,01-9
29172-560,1301-3,01-9
29172-550,1301-3,01-9
29168-133,1301-3,01-9
29164-886,1301-3,01-9
29164-460,1301-3,01-9
29162-018,1301-3,01-9
29158-212,1241-6,01-9
29158-200,1241-6,01-9
29157-515,1241-6,01-9
29157-313,1241-6,01-9
29157-290,1241-6,01-9
29154-046,1241-6,01-9
29152-290,1241-6,01-9
29152-271,1241-6,01-9
29151-780,1241-6,01-9
29151-770,1241-6,01-9
29150-590,1241-6,01-9
29146-635,1241-6,01-9
29146-040,1241-6,01-9
29145-260,1241-6,01-9
29144-017,1241-6,01-9
29140-280,1241-6,01-9
29136-485,4628-0,01-9
29135-000,4628-0,01-9
29125-066,1240-8,01-9
29125-065,1240-8,01-9
29124-382,1240-8,01-9
29124-238,1240-8,01-9
29120-340,1240-8,01-9
29114-710,1240-8,01-9
29113-759,1240-8,01-9
29109-500,1240-8,01-9
29108-060,1240-8,01-9
29108-048,1240-8,01-9
29107-010,1240-8,01-9
29103-885,1240-8,01-9
29103-670,1240-8,01-9
29103-525,1240-8,01-9
29103-472,1240-8,01-9
29102-906,1240-8,01-9
29102-217,1240-8,01-9
29100-608,1240-8,01-9
29090-470,1609-8,01-9
29065-420,1609-8,01-9
29062-020,1609-8,01-9
29060-490,1609-8,01-9
29060-130,1609-8,01-9
29060-010,1609-8,01-9
29055-250,1609-8,01-9
29047-022,1609-8,01-9
29046-685,1609-8,01-9
29043-443,1609-8,01-9
29042-775,1609-8,01-9
29032-840,1609-8,01-9
29032-546,1609-8,01-9
29027-540,1609-8,01-9
29027-422,1609-8,01-9
29027-224,1609-8,01-9
29025-760,1609-8,01-9
29023-155,1609-8,01-9
29018-310,1609-8,01-9
29010-700,1609-8,01-9
29010-520,1609-8,01-9
28701-540,0112-0,01-9
20937-380,0222-4,01-9
20300-190,0083-3,01-9
29901371,0478-2,01-9
29328168,1301-3,01-9
29194176,0829-X,01-9
29175147,1301-3,01-9
29260-00,1056-1,01-9
